App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Agra,Strategy,3.68541,1833,120,1833,Strategy,2017,Strategy,Strategy,2-Jan-00,4,12,951
A Touch of Evil: The Supernatural Game,Thematic,3.483345,4352,120,4352,Thematic,2008,Thematic,Thematic,2-Jan-00,8,12,952
Thunderbolt Apache Leader,Uncategorized,4.021455,1063,90,1063,Uncategorized,2012,Uncategorized,Uncategorized,1-Jan-00,1,12,953
Smash Up: It's Your Fault!,Uncategorized,3.77956,1576,60,1576,Uncategorized,2016,Uncategorized,Uncategorized,2-Jan-00,2,14,954
Medina,Strategy,3.52597,2875,60,2875,Strategy,2001,Strategy,Strategy,3-Jan-00,4,10,955
Machi Koro,Family,3.31581,24656,30,24656,Family,2012,Family,Family,2-Jan-00,4,10,956
Letter Jam,Family,3.686585,1778,45,1778,Family,2019,Family,Family,2-Jan-00,6,10,957
The Werewolves of Miller's Hollow,Party,3.37749,9476,30,9476,Party,2001,Party,Party,8-Jan-00,18,10,958
Dungeon Twister,Strategy,3.416785,5667,60,5667,Strategy,2004,Strategy,Strategy,2-Jan-00,2,11,959
Merlin,Strategy,3.5598,2610,75,2610,Strategy,2017,Strategy,Strategy,2-Jan-00,4,14,960
Eat Poop You Cat,Party,3.737235,1561,20,1561,Party,0,Party,Party,3-Jan-00,99,0,961
Blokus Duo,Abstract,3.42369,4959,15,4959,Abstract,2005,Abstract,Abstract,2-Jan-00,2,5,962
Heroes of Normandie,Uncategorized,3.75043,1866,60,1866,Uncategorized,2014,Uncategorized,Uncategorized,2-Jan-00,2,14,963
Viceroy,Strategy,3.42034,4897,60,4897,Strategy,2014,Strategy,Strategy,1-Jan-00,4,13,964
Kingsburg (Second Edition),Uncategorized,3.785725,1521,120,1521,Uncategorized,2017,Uncategorized,Uncategorized,2-Jan-00,5,10,965
Tang Garden,Family,3.912295,1355,60,1355,Family,2020,Family,Family,1-Jan-00,4,14,966
Medieval Academy,Family,3.48336,3399,30,3399,Family,2014,Family,Family,2-Jan-00,5,8,967
Rattus,Strategy,3.401835,5546,45,5546,Strategy,2010,Strategy,Strategy,2-Jan-00,4,10,968
Dungeon Fighter,Party,3.414245,5623,60,5623,Party,2011,Party,Party,1-Jan-00,6,14,969
Claustrophobia 1643,Thematic,4.08866,1021,90,1021,Thematic,2019,Thematic,Thematic,2-Jan-00,2,14,970
Crisis,Strategy,3.79644,1420,120,1420,Strategy,2016,Strategy,Strategy,1-Jan-00,5,14,971
Rialto,Strategy,3.458215,3658,45,3658,Strategy,2013,Strategy,Strategy,2-Jan-00,5,10,972
Dark Moon,Thematic,3.51318,3018,75,3018,Thematic,2011,Thematic,Thematic,3-Jan-00,7,12,973
Legacy of Dragonholt,Thematic,3.66667,1975,999,1975,Thematic,2017,Thematic,Thematic,1-Jan-00,6,14,974
Cat Lady,Family,3.550055,2784,30,2784,Family,2017,Family,Family,2-Jan-00,4,8,975
Hostage Negotiator,Thematic,3.472745,3773,20,3773,Thematic,2015,Thematic,Thematic,1-Jan-00,1,13,976
Mega Civilization,Strategy,4.134385,927,720,927,Strategy,2015,Strategy,Strategy,5-Jan-00,18,12,977
Ghost Fightin' Treasure Hunters,Family,3.580925,2483,30,2483,Family,2013,Family,Family,2-Jan-00,4,8,978
Elfenland,Family,3.359025,7856,60,7856,Family,1998,Family,Family,2-Jan-00,6,10,979
Mythos Tales,Thematic,3.73667,1647,120,1647,Thematic,2016,Thematic,Thematic,1-Jan-00,10,13,980
Evo,Strategy,3.4345,4341,120,4341,Strategy,2001,Strategy,Strategy,3-Jan-00,5,12,981
BattleTech,Thematic,3.523505,3323,90,3323,Thematic,1985,Thematic,Thematic,2-Jan-00,20,12,982
Stick 'Em,Strategy,3.517375,2770,60,2770,Strategy,1993,Strategy,Strategy,3-Jan-00,8,10,983
Carcassonne: Winter Edition,Family,3.747935,1597,40,1597,Family,2012,Family,Family,2-Jan-00,5,8,984
Ponzi Scheme,Strategy,3.599375,2172,90,2172,Strategy,2015,Strategy,Strategy,3-Jan-00,5,12,985
Jump Drive,Strategy,3.511755,2926,30,2926,Strategy,2017,Strategy,Strategy,2-Jan-00,4,13,986
Forum Trajanum,Strategy,3.675425,1736,120,1736,Strategy,2018,Strategy,Strategy,2-Jan-00,4,12,987
Council of 4,Strategy,3.59614,2194,75,2194,Strategy,2015,Strategy,Strategy,2-Jan-00,4,10,988
Fire & Axe: A Viking Saga,Strategy,3.503355,2984,90,2984,Strategy,2004,Strategy,Strategy,2-Jan-00,5,12,989
Castle Panic,Family,3.33018,13819,60,13819,Family,2009,Family,Family,1-Jan-00,6,10,990
The King's Dilemma,Thematic,4.05619,992,60,992,Thematic,2019,Thematic,Thematic,3-Jan-00,5,14,991
Tiny Epic Zombies,Thematic,3.541025,3205,45,3205,Thematic,2018,Thematic,Thematic,1-Jan-00,5,14,992
Thunderbirds,Thematic,3.784955,1602,60,1602,Thematic,2015,Thematic,Thematic,1-Jan-00,4,10,993
The Game,Family,3.354415,7791,20,7791,Family,2015,Family,Family,1-Jan-00,5,8,994
Sylvion,Strategy,3.5708,2394,30,2394,Strategy,2015,Strategy,Strategy,1-Jan-00,2,10,995
Ulm,Strategy,3.538495,2561,75,2561,Strategy,2016,Strategy,Strategy,2-Jan-00,4,10,996
Poker,Strategy,3.35322,8881,60,8881,Strategy,1810,Strategy,Strategy,2-Jan-00,10,12,997
Explorers of the North Sea,Strategy,3.67683,1884,60,1884,Strategy,2016,Strategy,Strategy,1-Jan-00,4,12,998
Tournay,Strategy,3.506745,2851,60,2851,Strategy,2011,Strategy,Strategy,2-Jan-00,4,12,999
Titan,Thematic,3.484065,3828,240,3828,Thematic,1980,Thematic,Thematic,2-Jan-00,6,12,1000
